trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
26,0,26,0,5,98.59682250022888,98.59682250022888,0.0327202994376421,[-0.2825],[0.46],[1],[0],[0],[2.068926900625229],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
27,0,27,0,5,100.71213950030506,100.71213950030506,0.03415290080010891,[0.0775],[0.24625],[1],[0],[0],[1.5739176999777555],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
28,0,28,0,10,102.3598050000146,102.3598050000146,0.06634380016475916,[-0.0825],[0.46625],[1],[0],[0],[1.9269754001870751],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
29,0,29,0,10,104.35218020062894,104.35218020062894,0.05619879998266697,[0.1325],[0.3875],[1],[0],[0],[1.1164036998525262],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
30,0,30,0,5,105.50770239997655,105.50770239997655,0.03334609977900982,[-0.20375],[-0.03375],[1],[0],[0],[1.8429012997075915],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
31,0,31,0,5,107.39455409999937,107.39455409999937,0.03508470021188259,[-0.32625],[0.35],[1],[0],[0],[1.506054099649191],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
32,0,32,0,5,108.94497130066156,108.94497130066156,0.03474960010498762,[0.33875],[0.3675],[1],[0],[0],[1.7720426004379988],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
33,0,33,0,5,110.75998110044748,110.75998110044748,0.03482129983603954,[-0.375],[-0.31375],[1],[0],[0],[1.5075759999454021],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
34,0,34,0,10,112.34397680032998,112.34397680032998,0.0645150002092123,[-0.25],[-0.40875],[1],[0],[0],[2.341903599910438],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
35,0,35,0,5,114.72445129975677,114.72445129975677,0.034006799571216106,[0.27125],[0.25],[1],[0],[0],[1.4417469995096326],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
